"","Canopy.W1","Canopy.W2","Max.Height","SA.Leaf","Stem.Volume","Stem.Biomass","SSD","Biomass.Leaf","SLA.Leaf","Root.Biomass","Root.Length","Root.AvgDiam","Root.Volume","SRL","RTD","N.shoot","C.shoot","N.root","C.root"
"Cirvul",25.5333333333333,20.2333333333333,38.4666666666667,NA,3.45,1982.54,1424.2836115,NA,NA,6.46,44.0445,0.2661,0.024,6818.03406,269.166667,NA,NA,NA,NA
"Comumb",9.74,5.28,23.72,1.41666666666667,0.28,56.15625,203.51875,15.7766666666667,97.2103722333333,269.3025,82.311875,0.801725,0.2615,726.457244425,908.958151,2.46,45.1866666666667,0.946666666666667,48.32
"Conarv",8.5,3.33333333333333,11.1666666666667,4.28766666666667,0.233333333333333,15,67.96,11.3158333333333,375.364404833333,26.91,197.6271,0.16385,0.0395,8311.559205,670.2516235,1.99,39.16,0.625,40.97
"Cretec",14.9,3.95,14.9,NA,0.45,69.975,156.0475,3.38333333333333,NA,20.045,149.99415,0.1911,0.06,37584.194385,216.0964915,NA,NA,NA,NA
"Dacglo",25.625,7.875,40.875,15.5772222222222,0.35,71.05875,552.43375,69.1820833333333,222.549326,87.2975,228.947775,0.274925,0.135,2904.6866675,643.71446825,1.605,42.7025,0.395,44.7725
"Danint",13.0428571428571,7.4,31.9857142857143,3.23333333333333,0.1125,28.0033333333333,350.033333333333,55.0011111111111,146.033042066667,196.818571428571,1124.33102857143,0.236842857142857,0.498714285714286,6280.91373428571,401.027168,1.35,43.81,0.906666666666667,44.34
"Danpar",59.2,45.4,44.9,7.12666666666667,NA,NA,NA,52.4666666666667,136.339086266667,121.1325,157.162925,0.466175,0.28125,1344.037324,458.68713975,NA,NA,0.5025,46.655
"Dasfru",56.1,41.4,46.7,2.48,2.18,597.6,324.8777778,18.532,136.349158806667,15.125,91.25392,0.47846,0.181,3981.03141,581.730769,1.976,46.796,0.576,49.47
"Dessop",14.1,9.56666666666667,38.7,NA,0.333333333333333,163.945,413.786111,NA,NA,50.98,121.6349,0.271633333333333,0.071,2420.78972333333,766.949368666667,NA,NA,NA,NA
"Dodcon",9.16666666666667,4.03333333333333,29.3333333333333,10.8333333333333,0.233333333333333,56.7616666666667,243.502777666667,60.0355555555556,180.739958222222,94.3666666666667,192.981133333333,0.510966666666667,0.405,2053.45288666667,242.401952666667,NA,NA,NA,NA
"Dranem",2.6,0.7,9.8,NA,0.1,2.575,25.75,NA,NA,6.51,89.4942,0.1152,0.009,13747.1889,723.333333,NA,NA,NA,NA
"Elacom",44.3633333333333,36.5666666666667,86.5,8.69444444444444,16.4166666666667,8455.7425,467.599331833333,71.0572222222222,122.688357983333,363.004,227.01332,0.56054,0.501,803.4080102,690.1972514,2.61,47.315,2.4,48.705
"Elygla",13.0125,4.15,56.225,8.51666666666667,0.4,165.8925,337.438333333333,53.1126388888889,159.001677527778,78.2458333333333,368.3056875,0.3136375,0.2135,3718.56840933333,480.58398,1.905,44.375,1.04,42.29
"Elytra",11.55,3.42,43.51,4.46466666666667,0.214285714285714,51.97875,256.196527833333,59.552,161.5430982,64.1057142857143,303.5948,0.238577777777778,0.120555555555556,5311.89835,503.808770714286,2.126,44.432,0.938,44.482
"Equlae",1.56666666666667,0.333333333333333,29.7666666666667,NA,0.666666666666667,89.1466666666667,140.171666666667,NA,NA,3.285,80.9358,0.191833333333333,0.021,24139.0273933333,222.233333333333,NA,NA,NA,NA
"Ericae",8.84,5.3,28.62,2.83333333333333,0.22,44.6625,206.809375,18.206,180.869179,34.475,74.88314,0.35728,0.0766,2474.46655,446.11074075,1.805,42.8125,1.42,47.7325
"Erigla",12.18,9.18,20.41,2.22708333333333,0.2875,72.3325,257.087777833333,14.0036458333333,160.354639833333,97.55875,232.80356,0.36376,0.1938,2545.13960625,477.3630355,1.695,45.175,1.20333333333333,44.2366666666667
"Eriphi",12.7,4.96666666666667,23.0333333333333,2.36533333333333,0.5,29.375,58.75,99.9855555555555,214.141978,125.335,180.18445,0.443,0.255,1376.377975,488.8682455,2.46,43.98,0.895,40.855
"Eryinc",9.04,3.38,33.82,NA,0.32,131.425,768.2283334,NA,NA,19.3075,71.34064,0.2527,0.0326,3810.476375,621.15800875,NA,NA,NA,NA
"Fescam",61.5,59.5714285714286,44.3571428571429,5.82166666666667,NA,33.48,NA,65.5430555555556,72.10378835,101.47125,333.902828571429,0.279914285714286,0.233571428571429,8082.025655,592.01610125,0.95,41.75,0.684285714285714,42.6914285714286
"Feshal",31.55,19.175,51.075,3.14285714285714,0.233333333333333,46.5556,257.686,35.8330952380952,101.359523152381,254.961428571429,511.011028571429,0.326471428571429,0.377714285714286,2088.56817285714,665.724079,1.27,43.9875,0.7275,29.9725
"Fesida",42.2,39.9,36.5,1.46,0.16,16.56,105.41,14.5636666666667,104.039867803333,NA,455.74356,0.19886,0.1422,NA,NA,1.11,44.518,0.63,42.668
"Fesrub",8.5,0.5,11.5,NA,NA,51.75,NA,11.4316666666667,NA,38.02,NA,NA,NA,NA,NA,1.44,42.43,0.39,42.39
"Fravir",12.8,7.68666666666667,12.26,15.5638888888889,0.195,40.7864285714286,201.7183334,81.6544871794872,144.642902444444,157.456333333333,211.705214285714,0.351314285714286,0.234285714285714,2056.82309885714,611.503639142857,2.00444444444444,45.2066666666667,0.716666666666667,44.6633333333333
"Gaiari",7.9,10.46,37.76,7.31333333333333,0.6,127.5575,546.93443175,51.6136666666667,145.287131533333,178.765,116.4099,0.55874,0.2368,743.12473475,666.4823545,1.792,41.398,1.298,44.524
